ID,In your current role do you carry out primary research?,Have you published a manuscript in the past 3 years?,Which of the following job family best applies to you?,Area of interest,"Please briefly describe your area of speciality within your field.
","Familiarity with Reproducibility?
","What does reproducibility mean to you?
","Familiarity with Open Science?
","What does Open Science mean to you
",Proportion of published results,How does your field stack up?,"How often do you think about reproducibility of your research?
","How often do you speak to your colleagues about reproducibility?
","How often do you question the reproducibility of other scientists' work?
","Your knowledge..
",Established procedure for reproducibility,Timelines,"Established procedure for reproducibility
",Quality of research changed,Impact on lab,Effects caused by change,"Funder & Institutional effort
","Funder & Institutional effort
2","Publisher effort
","Publisher effort
2",         Professional   incentives (e.g. funding or publications) for formally reproducing the work   of others       ,         Professional   incentives (e.g. funding or credit towards tenure) for adopting practices   that enhance reproducibility       ,         Better   teaching of science students       ,"         Better   mentoring/supervision of students, postdocs and other trainees in the lab       ",         Better   understanding of statistics       ,         More   robust experimental design       ,         More   emphasis on independent validation within the lab       ,         More   emphasis on independent replication via outside labs       ,         Journal   editors enforcing standards to enhance reproducibility (e.g. through   checklists)       ,         More   time to teach and mentor students and other workers in the lab       ,         More   time checking lab notebooks and raw data       ,"Would you like, Could you benefit from or do you want help in developing a strong foundation for running your own reproducible, open-source analyses?
","Guess what %age of respondents to a recent survey in Nature agreed that there is a ‘reproducibility crisis'
"
2,Yes,Yes,"Research Student (PhD, M by Res, MPhil etc.)",Behavioural Ecology,Behavioural ecologists interested in social evolution and conflict within animal societies. ,Somewhat familiar,The ability for another scientist to understand and reproduce your results. Especially important as it relates to the availability of code and data used for analysis. ,Somewhat familiar,"Open science is science that is published for anyone free to access, rather than requiring subscription or access costs to a journal. Sometimes this instead involves offloading the cost onto the publishing scientists. ",4,"... worse than for other scientific fields on average.""",Weekly,Weekly,Weekly,No,"No, but would like to",,,,,,No,,No,,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Likely,Maybe,50-80%
3,Yes,"No, but I have some in draft at this time","Research Student (PhD, M by Res, MPhil etc.)",Behavioural Ecology,Nest building and courtship display in birds,Very familiar,"Clearly describing your methods of data collection and analysis, so that it can be reproduced easily.",Fairly familiar,Accessible and transparant research,5,"... worse than for other scientific fields on average.""",Monthly,Yearly,Monthly,Maybe,Yes,The procedures have been in place since I started working in my lab,"Clear notation of methods during data collection and analysis, and appropriate mention of them in papers. R codes are encouraged to provide when publishing.","Yes, the quality of my research has improved",These changes have had a positive impact on my lab,"In general, I believe the positive impact is clearer science, but direct benefits to me or the lab are difficult to measure",No,Na,Yes,A requirement to provide dataframes,Very Likely,Not very likely,Likely,Very Likely,I don't know,Very Likely,Very Likely,I don't know,Very Likely,Likely,Likely,Maybe,50-80%
4,Yes,Yes,Education & Research Staff,Marine Ecology,Population modelling of marine vertebrates and conservation management,Very familiar,"Being able to recreate the main findings or results of a study, given suitable access to materials, data etc. i.e. whether or not findings could be broadly reproduced by a repeat of the study (either on the same system or a similar system).",Very familiar,"Providing access for anyone to various parts of the research machinery - this could include pre-registration of ideas/hypotheses to be tested, providing fully documented methods sections, providing access to data and code needed to recreate the results. Could also include Open Access publication, I guess.",3,"... worse than for other scientific fields on average.""",Monthly,Yearly,Monthly,Maybe,"No, but would like to",,,,,,Yes,Mostly these are just funders asking for data to be deposited with publications,Yes,The Open Science Badges. I think these help encourage people submitting papers to think about data and code reproducibility ,Likely,Very Likely,Likely,Very Likely,Not very likely,Not very likely,Likely,Very Likely,Likely,Likely,Likely,Yes,50-80%
5,Yes,No,"Research Student (PhD, M by Res, MPhil etc.)",Insect Evolutionary Ecology,I study insecticide detoxification enzymes in hoverflies. I am interested in the molecular determinants of sensitivity to insecticides and how this might differ between ecological guilds.,Very familiar,Producing research where the method is able to be completely replicated to then reproduce the results first obtained with the method. ,Somewhat familiar,Making scientific research accessible to all society by making the published research open access.,7,I am unsure.,Never,Never,Weekly,Maybe,Yes,The procedures have been in place since I started working in my lab,,I don't know,These changes have not affected my lab,,Yes,,Not Applicable,,Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,I don't know,I don't know,Very Likely,Very Likely,Not very likely,Yes,10-20%
6,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Microbial Evolutionary Ecology,How microbes react to abiotic and biotic change,Very familiar,That the results of the study can be reproduced given the dataset and that all the code needed to reproduce the results and graphs and analyses are freely available to access.,Very familiar,"That the results, data, and analysis pipelines are freely available.",3,"... about the same as for other scientific fields on average""",Weekly,Weekly,Weekly,Yes,Yes,Within the last 5 years,I have written R packages to help improve the reproducibility of analyses for thermal performance curves.,"Yes, the quality of my research has improved",These changes have had a positive impact on my lab,We got the same answers every time we re-ran the code.,Yes,The UKRN runs workshops to help reproducibility in UK science. In bioinformatics pipeline developers such as nextflow try and bring pipelines to help improve reproducibility.,Yes,They generally do not check that these are adhered to.,Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Likely,Likely,Very Likely,Likely,Likely,Yes,50-80%
7,Yes,"No, but I have some in draft at this time","Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Microbial Evolutionary Ecology,"Microbiology, AMR, Mobile Genetic Elements",Somewhat familiar,"When carrying out experiments, keeping enough notes in lab book about variations to planned protocol in order to be able to report research properly later.

When reporting, methods reported detailed enough to reproduce experiments: strains + plasmids listed, procedures described, downstream analyses explained.

There are genuine problems with 'reproducibility' e.g. that study finding a new effect is more likely to show an over-exaggeration in this effect. I wouldn't add something like that to the umbrella term of 'reproducibility' when thinking about how to address this through reporting though.",Somewhat familiar,"All listed under reproducibility + thorough description of how data was analysed, sharing of raw data. If appropriate (e.g. for medical trials) pre-registration of studies.",7,"... about the same as for other scientific fields on average""",Monthly,Yearly,Monthly,Maybe,No,,,,,,No,,Yes,"I remember reading a short checklist about what to include in methods, but then completely disregarding it when writing the methods because it was so bare-bones anyway, so probably not very helpful.

When submitting a paper though, a publisher requirement (or strong preference at least) was to also share raw data which made me add that as supplementary material, which I would not have thought of otherwise.",Likely,Not very likely,Likely,Likely,Likely,Likely,Very Likely,Very Likely,Likely,Likely,Likely,Maybe,50-80%
8,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Behavioural Ecology,Collective behaviour; theoretical modelling,Fairly familiar,Another scientist can replicate my work using the materials I provide when I publish something,Fairly familiar,No pay wall,5,"... better than for other scientific fields on average.""",Monthly,Yearly,Monthly,Yes,No,,,,,,No,,Yes,"Mandatory deposition of data, code. This helps, because for the most part, when I read someone else's paper, I can retrieve the results using their code and data. Not always though, especially if results not in R",Very Likely,Likely,Likely,Likely,Likely,Very Likely,Likely,Likely,Likely,Likely,Likely,Yes,50-80%
9,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Microbial Evolutionary Ecology,pathogen evolution,Fairly familiar,"essential for research integrity. Can serve as proof that the scientific work that is documented can be repeated, reproduced and thus verified. ",Somewhat familiar,"facilitates collaboration by sharing all documentation for use relating to the study. It should serve to increase the efficency and impact of research, reduce redundancy.",3,"... worse than for other scientific fields on average.""",Weekly,Weekly,Weekly,Maybe,No,,,,,,No,Funded by private company (probably doesnt apply the same way),Yes,"besides raw data, they require code to obtain results to be published as well.",Likely,Very Likely,Likely,Very Likely,Very Likely,Very Likely,Very Likely,Not very likely,Likely,Likely,Not at all likely,Maybe,90-100%
10,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Microbial Evolutionary Ecology,Genetics of adaptation and speciation,Fairly familiar,How replicable the results of an experiment or analysis are by another person/group. ,Fairly familiar,"Scientific information that is openly available and given in enough detail that the experiments and analyses could be reproduced. Also, with the underlying data made available. ",7,"... better than for other scientific fields on average.""",Monthly,Yearly,Yearly,Maybe,Yes,Within the last 10 years or longer,Enough detail in the methods (including supp methods) for experiments to be repeated. Publishing all data and code for analyses in dryad. ,I don't know,These changes have not affected my lab,I don’t know that there have been any in the labs that I have been in. ,Yes,"Haven’t noticed anything from Exeter yet. UCL required academics to post papers after they were published, which is nice. Funder (bbsrc) requirement for data management plan is positive because it forces people to think about making their data openly available. ",Yes,Publishers have checkboxes and short answer boxes to check that you have included detail in methods and analyses. I suppose this helps because it makes people think about these issues but they are also time consuming. ,Very Likely,Very Likely,Not very likely,Likely,Not very likely,Likely,Not very likely,Likely,Likely,Likely,Not very likely,Yes,50-80%
11,Yes,Yes,"Research Only Staff (e.g. Post Docs, Research Fellows etc.)",Insect molecular biology ,Insect pesticide toxicology and molecular mechanisms of insecticide resistance ,Very familiar,Data which can be generated again provided clear and detailed methods of data collection and analysis,Somewhat familiar,Open access and transparent research practices ,5,"... about the same as for other scientific fields on average""",Monthly,Weekly,Monthly,Yes,Not Applicable,,,,,,Yes,Commitment to publish open access article. Submission of raw data and preferences to use open access platforms and software for data analysis ,No,,Very Likely,Likely,Very Likely,Very Likely,Very Likely,Likely,Likely,Very Likely,Likely,Very Likely,Likely,Maybe,50-80%
